TOT_POP,0-9,0-9 y/o % of total pop,19-Oct,10-19 y/o % of total pop,20-29,20-29 y/o % of total pop,30-39,30-39 y/o % of total pop,40-49,40-49 y/o % of total pop,50-59,50-59 y/o % of total pop,60-69,60-69 y/o % of total pop,70-79,70-79 y/o % of total pop,80+,80+ y/o % of total pop,White-alone pop,% White-alone,Black-alone pop,% Black-alone,Native American/American Indian-alone pop,% NA/AI-alone,Asian-alone pop,% Asian-alone,Hawaiian/Pacific Islander-alone pop,% Hawaiian/PI-alone,Two or more races pop,% Two or more races,R_death_2018,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,PCTPOVALL_2018,PCTPOV017_2018,PCTPOV517_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,ICU Beds_x,Total Population,Population Aged 60+,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,Urban_rural_code
55601,6787,12.20661499,7637,13.73536447,6878,12.37028111,7089,12.74977069,7582,13.63644539,7738,13.91701588,5826,10.47822881,4050,7.284041654,2014,3.62223701,42660,76.72523875,10915,19.63094189,267,0.480207191,681,1.224798115,62,0.111508786,1016,1.827305264,9.6,11.3,32.6,28.4,27.7,13.8,19.3,19.5,59338,53628,65048,3.6,59338,119.0,6,55036,10523,47.6,45.4,49.4,35.8,34.2,37.3,7.9,7.2,8.7,8.6,7.3,9.9,12.9,11.9,13.8,3.1,2.9,3.3,3
218022,24757,11.35527607,26913,12.3441671,23579,10.81496363,25213,11.56442928,27338,12.53910156,29986,13.75365789,29932,13.72888975,20936,9.602700645,9368,4.296814083,190301,87.2852281,19492,8.940382163,1684,0.772399116,2508,1.150342626,146,0.066965719,3891,1.78468228,10.3,9.7,27.6,31.3,31.3,9.8,13.9,13.1,57588,54437,60739,3.6,57588,115.5,51,203360,53519,40.2,38.2,42.3,29.7,28.4,31.0,7.8,7.0,8.7,8.6,7.2,10.1,12.0,11.0,13.1,3.2,3.0,3.5,4
24881,2732,10.98026607,2960,11.89662795,3268,13.13452032,3201,12.86523854,3074,12.35480889,3278,13.17471163,3076,12.36284715,2244,9.018930107,1048,4.212049355,12209,49.06957116,12042,48.39837627,164,0.659137495,113,0.45416181,46,0.184880029,307,1.233873237,12.9,27.0,35.7,25.1,12.2,30.9,43.9,36.7,34382,31157,37607,5.2,34382,68.9,5,26201,6150,57.5,55.6,59.1,40.7,39.5,41.9,11.0,10.1,11.8,12.1,10.7,13.3,19.7,18.6,20.6,4.5,4.2,4.8,6
22400,2456,10.96428571,2596,11.58928571,3029,13.52232143,3113,13.89732143,3038,13.5625,3115,13.90625,2545,11.36160714,1723,7.691964286,785,3.504464286,17211,76.83482143,4770,21.29464286,98,0.4375,53,0.236607143,26,0.116071429,242,1.080357143,11.4,16.8,47.3,24.4,11.5,21.8,27.8,26.3,46064,41283,50845,4.0,46064,92.3,0,22580,4773,51.6,49.6,53.4,38.7,37.4,40.2,8.6,7.9,9.3,10.0,8.8,11.3,14.1,13.2,14.9,3.3,3.1,3.6,2
57840,7095,12.26659751,7570,13.08782849,6742,11.65629322,6884,11.90179806,7474,12.92185339,7844,13.5615491,6965,12.04183956,4931,8.525242047,2335,4.036998617,55456,95.87828492,950,1.642461964,378,0.653526971,185,0.319847856,70,0.121023513,801,1.384854772,11.4,19.8,34.0,33.5,12.6,13.2,18.0,15.5,50412,46157,54667,3.5,50412,101.1,6,57667,13600,46.3,44.3,48.4,34.0,32.4,35.5,9.2,8.4,10.1,10.5,9.1,12.0,13.5,12.6,14.5,3.4,3.2,3.7,2
10138,1198,11.81692642,1130,11.14618268,1395,13.76011048,1446,14.26316828,1274,12.56658118,1356,13.37541921,1219,12.02406786,703,6.934306569,417,4.113237325,2661,26.24778063,7168,70.70428092,85,0.838429671,19,0.187413691,76,0.749654764,129,1.272440324,11.8,24.8,39.7,22.3,13.3,42.5,68.3,66.5,29267,26064,32470,4.7,29267,58.7,0,10478,2371,60.7,58.6,62.6,45.8,44.2,47.4,10.0,9.3,10.8,10.9,9.6,12.1,20.6,19.4,21.9,4.5,4.2,4.8,6
19680,2351,11.94613821,2461,12.5050813,2286,11.61585366,2337,11.875,2318,11.77845528,2491,12.65752033,2683,13.63313008,1660,8.43495935,1093,5.553861789,10283,52.25101626,8839,44.91361789,74,0.37601626,259,1.316056911,10,0.050813008,215,1.092479675,12.1,15.4,43.9,24.6,16.1,24.5,36.3,35.3,37365,34051,40679,4.8,37365,74.9,7,20126,5151,58.1,56.2,59.7,41.2,39.8,42.5,10.4,9.6,11.2,11.4,10.0,12.7,18.6,17.5,19.5,4.3,4.1,4.6,6
114277,13141,11.49925182,14637,12.80835164,15463,13.53115675,13865,12.13280013,13727,12.01204092,15325,13.41039754,14641,12.8118519,8979,7.857224113,4499,3.936925191,86026,75.27848998,24153,21.13548658,617,0.539916169,1102,0.96432353,126,0.110258407,2253,1.971525329,13.1,15.9,32.4,33.7,18.0,19.5,26.5,24.1,45400,41668,49132,4.7,45400,91.0,24,115527,27115,53.6,51.6,55.5,40.9,39.4,42.3,9.1,8.3,9.9,10.2,8.9,11.7,14.7,13.6,15.7,3.6,3.3,3.8,4
33615,3869,11.50974267,3812,11.34017552,4380,13.02989737,3734,11.10813625,4078,12.13148892,4761,14.16331995,4492,13.36308196,2972,8.84129109,1517,4.51286628,19182,57.0638108,13446,40.0,103,0.306410829,446,1.326788636,15,0.044622936,423,1.258366801,13.7,18.6,38.4,29.7,13.2,18.7,30.7,30.3,39917,36435,43399,3.9,39917,80.0,0,33895,8501,55.7,54.2,57.4,39.1,37.7,40.4,9.8,9.1,10.6,10.8,9.6,12.0,17.5,16.6,18.5,4.0,3.8,4.2,5
26032,2554,9.811001844,2981,11.45129072,2852,10.95574677,2504,9.618930547,3204,12.3079287,3873,14.87784266,3946,15.15826675,2835,10.89044253,1283,4.928549478,24217,93.02781192,1109,4.260141364,172,0.660725261,88,0.338045483,8,0.030731408,438,1.682544561,13.1,19.8,38.3,29.0,12.9,16.3,24.7,22.2,42132,37915,46349,3.6,42132,84.5,0,25855,7513,55.9,53.7,58.1,39.1,37.3,41.0,10.8,9.8,12.0,12.1,10.4,13.9,15.9,14.7,17.2,3.9,3.6,4.2,6
